,index,video_id,video_path,duration,begin_frame,end_frame,captions,subject,predicate,object
13,8,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,15.43,55.24, The woman lays on the ground.,woman,lay on,ground
14,9,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,17.59,54, The man starts pointing to different areas of the woman's body as she does an exercise.,man,point to,body
15,9,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,17.59,54, The man starts pointing to different areas of the woman's body as she does an exercise.,man,point to,woman
16,10,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,17.59,54, The man starts pointing to different areas of the woman's body as she does an exercise.,woman,do,exercise
17,11,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,39.81,54.61, The woman begins to do small sit ups.,woman,do,sit ups
18,11,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,39.81,54.61, The woman begins to do small sit ups.,sit ups,is,small
19,12,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,56.47,61.72, The woman ends with a final title logo sequence.,logo sequence,is,final
20,12,v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,61.72,56.47,61.72, The woman ends with a final title logo sequence.,woman,end with,logo sequence
21,13,v_nwznKOuZM7w,https://www.youtube.com/watch?v=nwznKOuZM7w,31.64,0,15.51,Two people are seen moving around a kitchen quickly performing various tasks and sitting down.,people,is,2
22,13,v_nwznKOuZM7w,https://www.youtube.com/watch?v=nwznKOuZM7w,31.64,0,15.51,Two people are seen moving around a kitchen quickly performing various tasks and sitting down.,people,move around,kitchen
23,14,v_nwznKOuZM7w,https://www.youtube.com/watch?v=nwznKOuZM7w,31.64,0,15.51,Two people are seen moving around a kitchen quickly performing various tasks and sitting down.,people,perform,tasks
24,14,v_nwznKOuZM7w,https://www.youtube.com/watch?v=nwznKOuZM7w,31.64,0,15.51,Two people are seen moving around a kitchen quickly performing various tasks and sitting down.,people,sit down,
25,15,v_nwznKOuZM7w,https://www.youtube.com/watch?v=nwznKOuZM7w,31.64,11.39,31.64, They then wax down a ski in the kitchen while continuing to move around.,ski,is,waxed
26,15,v_nwznKOuZM7w,https://www.youtube.com/watch?v=nwznKOuZM7w,31.64,11.39,31.64, They then wax down a ski in the kitchen while continuing to move around.,ski,in,kitchen
27,16,v_nwznKOuZM7w,https://www.youtube.com/watch?v=nwznKOuZM7w,31.64,11.39,31.64, They then wax down a ski in the kitchen while continuing to move around.,people,move around,people
28,17,v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,36.54,0,7.48,We see a hallway with a wooden floor.,floor,is,wooden
29,17,v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,36.54,0,7.48,We see a hallway with a wooden floor.,hallway,with,floor
30,18,v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,36.54,7.48,18.09, A dog in socks walks slowly out onto the floor as a lady films him.,dog,walk out onto,floor
31,18,v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,36.54,7.48,18.09, A dog in socks walks slowly out onto the floor as a lady films him.,dog,in,socks
32,18,v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,36.54,7.48,18.09, A dog in socks walks slowly out onto the floor as a lady films him.,dog,is,slow
33,19,v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,36.54,7.48,18.09, A dog in socks walks slowly out onto the floor as a lady films him.,lady,film,him
34,20,v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,36.54,19.37,36.54, The dog turns around and goes back to the other room.,dog,go back to,room
35,20,v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,36.54,19.37,36.54, The dog turns around and goes back to the other room.,dog,turn around,room
36,21,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,0,145.55,A woman and a man are sitting on the sidewalk playing music.,woman,sit on,sidewalk
37,21,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,0,145.55,A woman and a man are sitting on the sidewalk playing music.,man,sit on,sidewalk
38,21,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,0,145.55,A woman and a man are sitting on the sidewalk playing music.,woman,play,music
39,21,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,0,145.55,A woman and a man are sitting on the sidewalk playing music.,man,play,music
40,22,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,67.68,72.77, People stand next to them and watch them play.,people,stand next to,people
41,22,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,67.68,72.77, People stand next to them and watch them play.,people,watch,people
42,23,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,82.97,87.33, A little boy holding a yellow ball walks by.,boy,is,little
43,23,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,82.97,87.33, A little boy holding a yellow ball walks by.,boy,hold,ball
44,23,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,82.97,87.33, A little boy holding a yellow ball walks by.,ball,is,yellow
45,23,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,82.97,87.33, A little boy holding a yellow ball walks by.,boy,walk by,
46,24,v_nHE7u40plD0,https://www.youtube.com/watch?v=nHE7u40plD0,145.55,98.98,103.33, A man poses for a picture in front of them.,man,pose in front of,them
47,25,v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,94.72,1.88,31.26,A young girl is seen sitting in a chair with a person standing next to her.,girl,is,young
48,25,v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,94.72,1.88,31.26,A young girl is seen sitting in a chair with a person standing next to her.,girl,sit in,chair
49,26,v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,94.72,1.88,31.26,A young girl is seen sitting in a chair with a person standing next to her.,person,stand next to,person
50,27,v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,94.72,29.36,71.51, The person next to her then piercing one ear followed by the other.,person,next to,person
51,27,v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,94.72,29.36,71.51, The person next to her then piercing one ear followed by the other.,person,pierce,ear
52,27,v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,94.72,29.36,71.51, The person next to her then piercing one ear followed by the other.,person,have,2
53,27,v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,94.72,29.36,71.51, The person next to her then piercing one ear followed by the other.,ear,is,right
54,27,v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,94.72,29.36,71.51, The person next to her then piercing one ear followed by the other.,ear,is,left
55,28,v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,94.72,55.4,91.4, The person rubs lotion on the piercings afterwards.,person,rub,lotion
56,28,v_69IsHpmRyfk,https://www.youtube.com/watch?v=69IsHpmRyfk,94.72,55.4,91.4, The person rubs lotion on the piercings afterwards.,person,have,piercings
57,29,v_D18b2IZpxk0,https://www.youtube.com/watch?v=D18b2IZpxk0,95.66,0,17.7,A woman is shown riding a camel past pyramids in Egypt.,woman,ride,camel
58,29,v_D18b2IZpxk0,https://www.youtube.com/watch?v=D18b2IZpxk0,95.66,0,17.7,A woman is shown riding a camel past pyramids in Egypt.,woman,past,pyramids
59,30,v_D18b2IZpxk0,https://www.youtube.com/watch?v=D18b2IZpxk0,95.66,19.61,88.01, The camel walks as the woman leans forward.,camel,walk,
60,31,v_D18b2IZpxk0,https://www.youtube.com/watch?v=D18b2IZpxk0,95.66,19.61,88.01, The camel walks as the woman leans forward.,woman,lean forward,
61,32,v_D18b2IZpxk0,https://www.youtube.com/watch?v=D18b2IZpxk0,95.66,90.87,95.66, And hand covers the lens as the harness is shown.,hand,cover,lens
62,33,v_D18b2IZpxk0,https://www.youtube.com/watch?v=D18b2IZpxk0,95.66,90.87,95.66, And hand covers the lens as the harness is shown.,,,
63,34,v_pizl41xmw7k,https://www.youtube.com/watch?v=pizl41xmw7k,172.08,0,85.18,A child mops the floor of a hallway in a house.,child,mop,floor
64,34,v_pizl41xmw7k,https://www.youtube.com/watch?v=pizl41xmw7k,172.08,0,85.18,A child mops the floor of a hallway in a house.,floor,in,hallway
65,34,v_pizl41xmw7k,https://www.youtube.com/watch?v=pizl41xmw7k,172.08,0,85.18,A child mops the floor of a hallway in a house.,house,have,hallway
66,35,v_pizl41xmw7k,https://www.youtube.com/watch?v=pizl41xmw7k,172.08,27.53,43.02, The child sets the mop down and plays with her family member.,child,set down,mop
67,36,v_pizl41xmw7k,https://www.youtube.com/watch?v=pizl41xmw7k,172.08,27.53,43.02, The child sets the mop down and plays with her family member.,child,play with,family member
68,38,v_pizl41xmw7k,https://www.youtube.com/watch?v=pizl41xmw7k,172.08,86.04,168.63, The child walks into the bedroom area and continues to mop the floor.,child,walk into,bedroom area
69,39,v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,214.6,0,40.77,A man is seen kneeling down on the floor speaking to the camera.,man,kneel down on,floor
70,40,v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,214.6,0,40.77,A man is seen kneeling down on the floor speaking to the camera.,man,speak to,camera
71,41,v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,214.6,41.84,119.09, The man mixes up various ingredients and begins laying plaster on the floor.,man,lay on,floor
72,41,v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,214.6,41.84,119.09, The man mixes up various ingredients and begins laying plaster on the floor.,man,mix up,ingredients
73,41,v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,214.6,41.84,119.09, The man mixes up various ingredients and begins laying plaster on the floor.,ingredients,is,various
74,42,v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,214.6,96.56,170.61, He measures the floor and tiles and cuts out a piece of tile to lay on the floor.,floor,measure,tiles
75,43,v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,214.6,96.56,170.61, He measures the floor and tiles and cuts out a piece of tile to lay on the floor.,tile,lay on,floor
76,43,v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,214.6,96.56,170.61, He measures the floor and tiles and cuts out a piece of tile to lay on the floor.,tile,cut out of,tile
77,44,v_oP77DgsbhKQ,https://www.youtube.com/watch?v=oP77DgsbhKQ,214.6,168.46,214.6, He continues laying tiles on the floor while looking back to speak to the camera.,tiles,lay on,floor
78,46,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,0,14.82,Two lines of young men are walking side by side down a road.,men,is,young
79,46,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,0,14.82,Two lines of young men are walking side by side down a road.,men,walk down,road
80,46,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,0,14.82,Two lines of young men are walking side by side down a road.,men,is,2
81,47,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,15.56,32.63,Then one man stands in a field holding a wooden object and begins twisting it.,man,stand in,field
82,47,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,15.56,32.63,Then one man stands in a field holding a wooden object and begins twisting it.,man,hold,object
83,47,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,15.56,32.63,Then one man stands in a field holding a wooden object and begins twisting it.,object,is,wooden
84,48,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,15.56,32.63,Then one man stands in a field holding a wooden object and begins twisting it.,man,twist,it
85,49,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,32.63,44.5,He then bends down and grabs a ball.,ball,grab,man
86,50,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,44.5,65.26,"After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball.",ball,place on,ground
87,51,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,44.5,65.26,"After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball.",baseball,hit,baseball
88,51,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,44.5,65.26,"After,the ball is placed on the ground and he picks it up and hits it as if he's playing baseball.",baseball,pick up,baseball
89,52,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,66.73,72.68,The ball is thrown back and he its it again.,ball,throw back,ball
90,54,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,74.16,107.52,"Shortly after, a field of men are shown and they begin playing a game against one another.",men,is,short
91,54,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,74.16,107.52,"Shortly after, a field of men are shown and they begin playing a game against one another.",men,is,field
92,55,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,74.16,107.52,"Shortly after, a field of men are shown and they begin playing a game against one another.",game,against,people
93,56,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,106.05,130.52,There was a penalty and one players attempts to hit the ball into the goal from the side.,player,hit,ball
94,56,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,106.05,130.52,There was a penalty and one players attempts to hit the ball into the goal from the side.,player,is,1
95,56,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,106.05,130.52,There was a penalty and one players attempts to hit the ball into the goal from the side.,ball,into,goal
96,56,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,106.05,130.52,There was a penalty and one players attempts to hit the ball into the goal from the side.,ball,is,2
97,56,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,106.05,130.52,There was a penalty and one players attempts to hit the ball into the goal from the side.,penalty,is,2
98,56,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,106.05,130.52,There was a penalty and one players attempts to hit the ball into the goal from the side.,player,is,2
99,56,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,106.05,130.52,There was a penalty and one players attempts to hit the ball into the goal from the side.,player,hit,penalty
100,57,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,129.77,137.94,"After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down.",people,is,lying
101,58,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,129.77,137.94,"After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down.",person,lay down,head
102,58,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,129.77,137.94,"After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down.",person,sit up,head
103,58,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,129.77,137.94,"After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down.",person,hit,head
104,58,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,129.77,137.94,"After,everyone is pictured lying down on the ground as if they are dead but one person begins to sit up but gets hit in the head by the ball and lays back down.",person,sit down,head
105,59,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,137.94,148.32,"Lastly,the screen flashes to a black screen and the words The End are shown.",screen,flash to,screen
106,59,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,137.94,148.32,"Lastly,the screen flashes to a black screen and the words The End are shown.",screen,is,black
107,60,v_fzp5ooc727c,https://www.youtube.com/watch?v=fzp5ooc727c,148.32,137.94,148.32,"Lastly,the screen flashes to a black screen and the words The End are shown.",words,show,end
108,61,v_LNKdVrX_0Fg,https://www.youtube.com/watch?v=LNKdVrX_0Fg,226.72,0,22.67,A woman wearing overalls is talking to the camera.,woman,wear,overalls
109,61,v_LNKdVrX_0Fg,https://www.youtube.com/watch?v=LNKdVrX_0Fg,226.72,0,22.67,A woman wearing overalls is talking to the camera.,woman,talk to,camera
110,62,v_LNKdVrX_0Fg,https://www.youtube.com/watch?v=LNKdVrX_0Fg,226.72,22.67,179.11," She lays out wrapping paper, showing how to wrap a toy in it.",wrapping paper,lay out,woman
111,63,v_LNKdVrX_0Fg,https://www.youtube.com/watch?v=LNKdVrX_0Fg,226.72,22.67,179.11," She lays out wrapping paper, showing how to wrap a toy in it.",toy,wrap in,toy
112,66,v_t0ajvfx6dgA,https://www.youtube.com/watch?v=t0ajvfx6dgA,147.25,0,10.31,A man in a suit is sitting behind a desk.,man,sit behind,desk
113,66,v_t0ajvfx6dgA,https://www.youtube.com/watch?v=t0ajvfx6dgA,147.25,0,10.31,A man in a suit is sitting behind a desk.,man,is,suit
114,67,v_t0ajvfx6dgA,https://www.youtube.com/watch?v=t0ajvfx6dgA,147.25,17.67,137.69, People are playing lacrosse on a field of grass.,people,play,lacrosse
115,67,v_t0ajvfx6dgA,https://www.youtube.com/watch?v=t0ajvfx6dgA,147.25,17.67,137.69, People are playing lacrosse on a field of grass.,field,is,grass
116,68,v_t0ajvfx6dgA,https://www.youtube.com/watch?v=t0ajvfx6dgA,147.25,120.01,125.16, A person in a yellow uniform is standing in front of a net blocking balls.,person,stand in front of,net
117,68,v_t0ajvfx6dgA,https://www.youtube.com/watch?v=t0ajvfx6dgA,147.25,120.01,125.16, A person in a yellow uniform is standing in front of a net blocking balls.,person,wear,uniform
118,68,v_t0ajvfx6dgA,https://www.youtube.com/watch?v=t0ajvfx6dgA,147.25,120.01,125.16, A person in a yellow uniform is standing in front of a net blocking balls.,uniform,is,yellow
119,68,v_t0ajvfx6dgA,https://www.youtube.com/watch?v=t0ajvfx6dgA,147.25,120.01,125.16, A person in a yellow uniform is standing in front of a net blocking balls.,net,block,balls
120,69,v_IoiDAHNryTk,https://www.youtube.com/watch?v=IoiDAHNryTk,47.04,0,19.29,A girl is seen climbing across a set of monkey bars followed by her waving to the camera.,girl,climb across,monkey bars
121,70,v_IoiDAHNryTk,https://www.youtube.com/watch?v=IoiDAHNryTk,47.04,0,19.29,A girl is seen climbing across a set of monkey bars followed by her waving to the camera.,woman,wave to,camera
122,71,v_IoiDAHNryTk,https://www.youtube.com/watch?v=IoiDAHNryTk,47.04,19.98,47.04, She climbs her way back on the bars and jumps down mid way through.,woman,climb,bars
123,72,v_IoiDAHNryTk,https://www.youtube.com/watch?v=IoiDAHNryTk,47.04,19.98,47.04, She climbs her way back on the bars and jumps down mid way through.,woman,jump down,mid way through
124,73,v__yWADgOFxP0,https://www.youtube.com/watch?v=_yWADgOFxP0,238.38,0,75.08,A camera pans over a snowy area and leads into a man standing on a snowboard and riding down a mountain.,man,stand on,snowboard
125,73,v__yWADgOFxP0,https://www.youtube.com/watch?v=_yWADgOFxP0,238.38,0,75.08,A camera pans over a snowy area and leads into a man standing on a snowboard and riding down a mountain.,snow,on,area
126,73,v__yWADgOFxP0,https://www.youtube.com/watch?v=_yWADgOFxP0,238.38,0,75.08,A camera pans over a snowy area and leads into a man standing on a snowboard and riding down a mountain.,camera,pan over,area
127,74,v__yWADgOFxP0,https://www.youtube.com/watch?v=_yWADgOFxP0,238.38,0,75.08,A camera pans over a snowy area and leads into a man standing on a snowboard and riding down a mountain.,man,ride down,mountain
128,75,v__yWADgOFxP0,https://www.youtube.com/watch?v=_yWADgOFxP0,238.38,75.08,238.38, The man zooms in on himself riding down the hill and ends with him turning off the camera.,man,ride down,hill
129,75,v__yWADgOFxP0,https://www.youtube.com/watch?v=_yWADgOFxP0,238.38,75.08,238.38, The man zooms in on himself riding down the hill and ends with him turning off the camera.,man,is,man
130,75,v__yWADgOFxP0,https://www.youtube.com/watch?v=_yWADgOFxP0,238.38,75.08,238.38, The man zooms in on himself riding down the hill and ends with him turning off the camera.,man,is,zoom in on
131,76,v__yWADgOFxP0,https://www.youtube.com/watch?v=_yWADgOFxP0,238.38,75.08,238.38, The man zooms in on himself riding down the hill and ends with him turning off the camera.,man,turn off,camera
132,77,v_AGgJVF3nT6I,https://www.youtube.com/watch?v=AGgJVF3nT6I,65.04,0,14.31,A playroom is seen followed by a young boy sliding down a slide and climbing back up again.,boy,is,young
133,77,v_AGgJVF3nT6I,https://www.youtube.com/watch?v=AGgJVF3nT6I,65.04,0,14.31,A playroom is seen followed by a young boy sliding down a slide and climbing back up again.,boy,slide down,slide
134,77,v_AGgJVF3nT6I,https://www.youtube.com/watch?v=AGgJVF3nT6I,65.04,0,14.31,A playroom is seen followed by a young boy sliding down a slide and climbing back up again.,playroom,see,boy
135,78,v_AGgJVF3nT6I,https://www.youtube.com/watch?v=AGgJVF3nT6I,65.04,0,14.31,A playroom is seen followed by a young boy sliding down a slide and climbing back up again.,boy,climb up,boy
136,79,v_AGgJVF3nT6I,https://www.youtube.com/watch?v=AGgJVF3nT6I,65.04,14.31,65.04," He slides down again, this time landing on his back, and continues to slide down several more times.",man,land on,back
137,79,v_AGgJVF3nT6I,https://www.youtube.com/watch?v=AGgJVF3nT6I,65.04,14.31,65.04," He slides down again, this time landing on his back, and continues to slide down several more times.",man,slide down,back
138,80,v_AGgJVF3nT6I,https://www.youtube.com/watch?v=AGgJVF3nT6I,65.04,14.31,65.04," He slides down again, this time landing on his back, and continues to slide down several more times.",man,slide down,times
139,81,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,157.32,A man and woman are sitting on red couches with sports jerseys hanging on the wall and a blue screen on the wall behind them in the middle of them.,couches,is,red
140,81,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,157.32,A man and woman are sitting on red couches with sports jerseys hanging on the wall and a blue screen on the wall behind them in the middle of them.,man,sit on,couches
141,81,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,157.32,A man and woman are sitting on red couches with sports jerseys hanging on the wall and a blue screen on the wall behind them in the middle of them.,woman,sit on,couches
142,81,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,157.32,A man and woman are sitting on red couches with sports jerseys hanging on the wall and a blue screen on the wall behind them in the middle of them.,jerseys,hang on,wall
143,81,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,157.32,A man and woman are sitting on red couches with sports jerseys hanging on the wall and a blue screen on the wall behind them in the middle of them.,couches,is,sports
144,82,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,157.32,A man and woman are sitting on red couches with sports jerseys hanging on the wall and a blue screen on the wall behind them in the middle of them.,screen,is,blue
145,82,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,157.32,A man and woman are sitting on red couches with sports jerseys hanging on the wall and a blue screen on the wall behind them in the middle of them.,screen,on,wall
146,82,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,157.32,A man and woman are sitting on red couches with sports jerseys hanging on the wall and a blue screen on the wall behind them in the middle of them.,screen,in middle of,them
147,83,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,16.52,"The woman picks up a clipboard next to her and smooths out the papers that are on top of it while smiling, crosses her legs and sits back.",woman,pick up,clipboard
148,83,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,16.52,"The woman picks up a clipboard next to her and smooths out the papers that are on top of it while smiling, crosses her legs and sits back.",woman,have,papers
149,83,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,16.52,"The woman picks up a clipboard next to her and smooths out the papers that are on top of it while smiling, crosses her legs and sits back.",papers,is,on top of
150,83,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,16.52,"The woman picks up a clipboard next to her and smooths out the papers that are on top of it while smiling, crosses her legs and sits back.",woman,smile at,
151,83,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,16.52,"The woman picks up a clipboard next to her and smooths out the papers that are on top of it while smiling, crosses her legs and sits back.",papers,is,smooth
152,84,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,16.52,"The woman picks up a clipboard next to her and smooths out the papers that are on top of it while smiling, crosses her legs and sits back.",woman,sit back,legs
153,84,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,16.52,"The woman picks up a clipboard next to her and smooths out the papers that are on top of it while smiling, crosses her legs and sits back.",woman,cross,legs
154,85,v_XD3yFrJHiv8,https://www.youtube.com/watch?v=XD3yFrJHiv8,157.32,0,29.88,The man is talking this whole time while the woman gets comfortable on her couch and the woman briefly talks.,man,talk,woman
