,video_id,video_path,begin_frame,end_frame,captions,subject,predicate,object
26373,v_diZvvLb46O8,https://www.youtube.com/watch?v=diZvvLb46O8,10.06,33.19,The team in white and red uniform danced in the court.,team,in,uniform
62847,v_-kuXhOsHAc4,https://www.youtube.com/watch?v=-kuXhOsHAc4,227.94,232.6, We see a lighted sign and end.,sign,is,end
11452,v_WgJy8seQ7z4,https://www.youtube.com/watch?v=WgJy8seQ7z4,0.0,55.6,Two men are arm wrestling on a table.,men,is,arm wrestling
47666,v_DDZFQKi1v2U,https://www.youtube.com/watch?v=DDZFQKi1v2U,79.2,108.97, She finishes the piercing and ends by smiling to the camera.,woman,finish,piercing
1713,v_k42CKebiSLA,https://www.youtube.com/watch?v=k42CKebiSLA,2.19,12.02,A man travels to Japan to study how to be a sumo wrestler.,man,study to be,sumo wrestler
67044,v_lu1bVIcDn4c,https://www.youtube.com/watch?v=lu1bVIcDn4c,4.23,6.51,"In her hands,she is holding two onions then the video rapidly shows her with a tomato,rutabaga and a bag of Cathedral City mature cheddar.",bag,is,cheddar
31168,v_0IxId05Eo6k,https://www.youtube.com/watch?v=0IxId05Eo6k,49.4,85.17,"Two short clips play and it shows a womens tug-of-war match, then a mens but it doesn't show much and then it goes straight to outdoor shots of the city and text on the screen appear with the network logo, website, and rights of the video.",rights,on,video
56922,v_Y5hT9Sk5EY4,https://www.youtube.com/watch?v=Y5hT9Sk5EY4,62.47,94.01, The groomer holds up the brush to view it close up.,groomer,hold,brush
26025,v_Dutm5TiFBqQ,https://www.youtube.com/watch?v=Dutm5TiFBqQ,11.05,47.89, Another man in a yellow hoodie comes over.,man,come over,man
14005,v_NzL_uQyQjIw,https://www.youtube.com/watch?v=NzL_uQyQjIw,3.66,23.79,"People walk holding surfboards, then they board a boat.",boat,board,people
75640,v_JjRSGzdwtc0,https://www.youtube.com/watch?v=JjRSGzdwtc0,91.54,152.57, The group continue dancing and jumping around public places and ends with a baby holding a rope.,baby,hold,rope
75972,v_bvBNoeCBDdg,https://www.youtube.com/watch?v=bvBNoeCBDdg,143.67,151.23, Another title screen appear with a website just below it.,website,just below,title screen
14105,v_gBOWkZBlc8g,https://www.youtube.com/watch?v=gBOWkZBlc8g,5.05,71.32,A large group of people are seen swimming around an ocean while two men pass a soccer ball back and fourth to one another on the shore.,people,swim around,ocean
64563,v_liI1E_ZZV5w,https://www.youtube.com/watch?v=liI1E_ZZV5w,1.91,4.89,The man already has a shoe on his right foot and it tightens itself when he touches it.,shoe,tighten,touch
22518,v_SID0y9y6Uk4,https://www.youtube.com/watch?v=SID0y9y6Uk4,12.62,21.73, Some win the matches quite quickly.,matches,is,quick
76159,v_mPtCJg-j4SM,https://www.youtube.com/watch?v=mPtCJg-j4SM,0.0,15.33,A woman dressed in workout clothes and a jacket is walking down a hall and stops to talk about whats behind the door.,woman,walk down,hall
9284,v_xj-f9hzQ3Lc,https://www.youtube.com/watch?v=xj-f9hzQ3Lc,0.0,14.36,Several dirt bikers are standing under a garage behind a stand preparing to race.,dirt bikers,is,2
17683,v_1lu7Sbu3a6o,https://www.youtube.com/watch?v=1lu7Sbu3a6o,0.0,10.18,We see a lady and a girl on a raft on a snowy hill.,girl,on,raft
43403,v_cSCskKqO7CE,https://www.youtube.com/watch?v=cSCskKqO7CE,143.01,171.44,  The little girl gives a final thumbs up and blows kisses to the camera before talking more and smiling as the scene fades out.,girl,give,kisses
10465,v_bGql7ldp84A,https://www.youtube.com/watch?v=bGql7ldp84A,0.0,24.66,A woman comes onto the screen announcing that she will do a video on how to make a cookie dessert.,woman,make,cookie dessert
379,v_4x7HYKV8zkY,https://www.youtube.com/watch?v=4x7HYKV8zkY,62.03,71.3, They lift one of the girls up for a stunt.,girl,is,2
47705,v_LGku-onF4VI,https://www.youtube.com/watch?v=LGku-onF4VI,0.0,64.23,People are sitting behind large drums.,drums,is,large
77653,v_ktYgm8bRK-g,https://www.youtube.com/watch?v=ktYgm8bRK-g,24.98,48.45,She progresses and adds another hula hip and both of them go on at the same time.,hula hip,is,4
4761,v_rHUCx_JqNk4,https://www.youtube.com/watch?v=rHUCx_JqNk4,0.0,20.39,a woman with pink hair is posing for the camera.,hair,is,pink
33763,v__dp7ZH3Upuw,https://www.youtube.com/watch?v=_dp7ZH3Upuw,34.36,55.43, He makes it all the way to the end before jumping off.,man,make,jump off
10934,v_mz2-lgoNz1M,https://www.youtube.com/watch?v=mz2-lgoNz1M,7.18,19.39,A man wearing a white shirt and a camouflage print hat and ear and lip piercings is demonstrating how to do permanent tattoos.,hat,is,print
51701,v_8WFB_LUOx4k,https://www.youtube.com/watch?v=8WFB_LUOx4k,0.0,33.06,A camera captures several shots of sites as well as people standing outside drinking and celebrating.,people,stand outside,celebrating
39014,v_amCD-2TIKw0,https://www.youtube.com/watch?v=amCD-2TIKw0,57.74,120.46, Several other people join them as they walk and dance to the music.,people,dance to,music
69078,v_moqRG7uwZ4Q,https://www.youtube.com/watch?v=moqRG7uwZ4Q,65.71,104.29, The leaves are blown away from some lawn furniture and blown towards the middle of the yard.,leaves,is,in
6104,v_UnpBbcIa3zA,https://www.youtube.com/watch?v=UnpBbcIa3zA,12.97,19.45, The woman throws the disc far across the field.,woman,throw,disc
9420,v_HGy8UgabFMw,https://www.youtube.com/watch?v=HGy8UgabFMw,14.2,37.55," He climbed the blue-green ladder to trim the top of the hedge, he moved the ladder to do the middle top of the hedge.",ladder,is,trim
57556,v_mvl6wff267o,https://www.youtube.com/watch?v=mvl6wff267o,36.02,108.82, Two girls check their wrists while one speaks to the camera and several shots of a wristband are shown.,girl,have,wrist
38907,v_EHVkkRI7mBQ,https://www.youtube.com/watch?v=EHVkkRI7mBQ,42.7,175.87, We see men snowboarding over obstacles and ramps on the ski slope.,men,snowboard on,ski slope
10625,v_nxyENrsY4mo,https://www.youtube.com/watch?v=nxyENrsY4mo,0.0,8.31,A small quote comes across the screen and the title pages follows.,quote,come across,screen
62353,v_1uC0xzyx4Bc,https://www.youtube.com/watch?v=1uC0xzyx4Bc,163.22,186.54, Finally he shows how to use a vinegar solution to clean the tiles in order to maintain the quality of the tiles.,tiles,is,clean
28210,v_1GXQLnTalcg,https://www.youtube.com/watch?v=1GXQLnTalcg,14.31,22.56, She lists out the tools you need and steps to brush.,tools,is,6
56941,v_H0puoztHMY8,https://www.youtube.com/watch?v=H0puoztHMY8,9.59,14.29, Windows on a house is shown.,windows,on,house
15424,v_U_4goX5w_1c,https://www.youtube.com/watch?v=U_4goX5w_1c,0.0,15.06,A black male athlete run in the field then hopped and jumped and landed on the sandy field.,athlete,jump,
56305,v_vygPNS-eAYM,https://www.youtube.com/watch?v=vygPNS-eAYM,46.16,47.89, then the girl begins to hop and jump across the squares.,girl,hop across,squares
2849,v_oG4zf8dAQKw,https://www.youtube.com/watch?v=oG4zf8dAQKw,0.0,17.66,A close up of products are shown followed by a woman open the package in front of a mirror.,woman,open,package
38764,v_qgQVbGtIn0M,https://www.youtube.com/watch?v=qgQVbGtIn0M,36.33,39.71,Another angle is shown and a small circle appears on the screen.,circle,on,screen
24457,v_bAD_-DEgubk,https://www.youtube.com/watch?v=bAD_-DEgubk,30.46,41.78, He is excited as he plays the game while his mother cheers him up to play.,mother,is,2
55222,v_CcBPELJaRlk,https://www.youtube.com/watch?v=CcBPELJaRlk,112.25,220.09,"After, each group does the same thing as they maneuver throughout various parts of the water and hitting rocks.",group,hit,rocks
1600,v_u35hesPTsNE,https://www.youtube.com/watch?v=u35hesPTsNE,54.05,130.5, The man continues playing as the women speaks to the crowd and sings while they play.,women,speak to,crowd
61540,v_0WRxp0X0edY,https://www.youtube.com/watch?v=0WRxp0X0edY,136.95,159.24,Clips are shown from a real curling game and the people begin to wait against the wall.,people,wait against,wall
24090,v_3nLA8R3ULSE,https://www.youtube.com/watch?v=3nLA8R3ULSE,0.0,128.06,man is riding a motorbike in a dusty path inside a dome.,dome,is,dusty
35630,v_rNQbSptv1cM,https://www.youtube.com/watch?v=rNQbSptv1cM,42.42,50.76," The girl stretches by bending to the ground, and sits on the ground stretching.",girl,stretch on,ground
52699,v_X3Nr9Gj6JR0,https://www.youtube.com/watch?v=X3Nr9Gj6JR0,2.12,98.91,"A person makes spaghetti from scratch using flour, eggs, a blender and a pasta press.",person,use,pasta press
15994,v_TS-p15iwQPc,https://www.youtube.com/watch?v=TS-p15iwQPc,87.76,129.06," When they reach the end they turn around again to walk, kick and punch back in the direction they came from and once again the instructor stops them to talk and demonstrate the moves and once again the class resumes their movements and when hey get to the end of the room they turn around and end their routine with their legs apart and arms in front of them.",class,have,routine
54115,v_cnFw7hjmqJY,https://www.youtube.com/watch?v=cnFw7hjmqJY,54.83,120.51,the kid make a throw and then score a basket adn the kids behind her keeps doing the same.,kids,behind,girl
23166,v_99KPQLxH4cw,https://www.youtube.com/watch?v=99KPQLxH4cw,0.0,44.22,Several shots are shown of various snow boarders grinding down rails into snow with one falling and hurting himself.,snowboarder,fall,snowboarder
41117,v_C5KcdwGSvbw,https://www.youtube.com/watch?v=C5KcdwGSvbw,31.66,41.48,The mixes again and finally puts another small amount of ingredients in the bowl.,ingredients,is,small
73123,v_h-N9TvaBax8,https://www.youtube.com/watch?v=h-N9TvaBax8,0.0,15.21,woman is talking in news talking about a los angeles baseball player.,baseball player,in,los angeles
5963,v_8wxFQrFEo3M,https://www.youtube.com/watch?v=8wxFQrFEo3M,142.33,145.98, When the clips are done a black screen appears and blue letters appear and it say's Thanks for watching.,letters,appear in,sentence
78956,v_QLVgy-1ydr0,https://www.youtube.com/watch?v=QLVgy-1ydr0,0.0,190.62,  A guy messes with a bull.,guy,mess with,bull
68212,v_rLH89pN9I84,https://www.youtube.com/watch?v=rLH89pN9I84,14.68,108.63, Two small dogs follow her on leashes.,dogs,follow,woman
24398,v_wAt_OsQe-qM,https://www.youtube.com/watch?v=wAt_OsQe-qM,26.99,128.5, He then demonstrates how to play the violin.,violin,play,violin
74910,v_r8qq4rU0tPE,https://www.youtube.com/watch?v=r8qq4rU0tPE,13.56,46.11,Someone begins skiing and then a man in an orange snow suit begins talking.,snow suit,is,skiing
16601,v_ByTL6_iHoIA,https://www.youtube.com/watch?v=ByTL6_iHoIA,0.0,161.22, people are scuba diving watching the  fishes are swimming between rocks.,people,dive,scuba
40685,v_PU6f-DcDngM,https://www.youtube.com/watch?v=PU6f-DcDngM,0.0,186.57,  The focus is on one man and horse who chase the ball.,focus,on,horse
40677,v_2vixXUJiNhk,https://www.youtube.com/watch?v=2vixXUJiNhk,147.18,199.59,The focus goes back to the snorkelers as they continue to explore the area with their flashlights.,snorkelers,explore,area
19350,v_KsKUIIHiMg0,https://www.youtube.com/watch?v=KsKUIIHiMg0,22.26,59.37,There are two women in a bathroom washing clothes in blue buckets filled with foamy soap water.,water,is,blue
79597,v_CoHVA7nr82A,https://www.youtube.com/watch?v=CoHVA7nr82A,195.49,202.69, the man uses a wire brush to clean the metal.,man,use,wire brush
11866,v_PGNwd5bySwI,https://www.youtube.com/watch?v=PGNwd5bySwI,11.81,18.42,Two men are talking in front of a helicopter.,men,talk in front of,helicopter
10869,v_2Peh_gdQCjg,https://www.youtube.com/watch?v=2Peh_gdQCjg,14.86,48.83, A coach shows different leg stances to a student for playing badminton.,coach,show,student
71659,v_WW0Sm6oDc9M,https://www.youtube.com/watch?v=WW0Sm6oDc9M,11.69,15.13, He runs back and falls onto the lane.,man,fall onto,lane
80816,v_4pSWTD4vAz0,https://www.youtube.com/watch?v=4pSWTD4vAz0,94.72,134.46, A man is pulled on a sled from the shore then on the lake.,sled,on,shore
68340,v_FWPJWq-uhUw,https://www.youtube.com/watch?v=FWPJWq-uhUw,18.26,42.41," The man then grabs his necklace, puts it in his mouth and begins clapping above his head and a name below appears and it say's IRVING SALADINO.",name,say,irving
78205,v_YVbMt3qsB3o,https://www.youtube.com/watch?v=YVbMt3qsB3o,24.59,32.9,Another boy then begins throwing a bag of sand before the previous man comes back and starts using elliptical machines.,bag,is,sand
20350,v_hKLDr9ZaDb8,https://www.youtube.com/watch?v=hKLDr9ZaDb8,3.71,135.89, She begins to hula hoop with a lit up hula hoop.,hula hoop,with,hula hoop
28546,v_bKEvJveN6k4,https://www.youtube.com/watch?v=bKEvJveN6k4,0.0,94.66,A group of kids are throwing balls at one another in a bouncy room where the floors are inflatable bounce platforms.,floors,is,bouncy
25910,v_X6IoTFqaegc,https://www.youtube.com/watch?v=X6IoTFqaegc,0.0,14.0,A woman's hand is shown wiping a glass screen followed by various objects sitting on a table.,hand,is,woman
74331,v_s2cXljpR-xk,https://www.youtube.com/watch?v=s2cXljpR-xk,40.89,140.06, The girls slaps the man and he continues to play the game with several other girls on the street in various locations.,girls,slap,man
19248,v_N5J9Zb07uuQ,https://www.youtube.com/watch?v=N5J9Zb07uuQ,65.24,176.33," They're seen hanging up posters, climbing up and down ladders, and finally cutting carious foods on a large stick afterwards.",food,climb up,ladder
19593,v_bXT72HACH4I,https://www.youtube.com/watch?v=bXT72HACH4I,29.28,155.46,"Various clips of people rope jumping play and sometimes there's just 1 person jumping alone, but most times there are between 2 and 4 and a lot of times they are alternating between jumping and holding the rope.",people,is,rope jumping
5527,v_bzJTmN6wAC4,https://www.youtube.com/watch?v=bzJTmN6wAC4,26.2,128.91, He is using a palette to paint an ombre scene.,man,use,palette
21649,v_s2PFIKG5PYI,https://www.youtube.com/watch?v=s2PFIKG5PYI,5.52,13.76, A robot arm then moves into frame attempting to push things around.,arm,is,robot
36781,v_roTIeCtx94Q,https://www.youtube.com/watch?v=roTIeCtx94Q,64.16,104.33, the dough is molded in balls and in a tray to the oven.,dough,place in,tray
36096,v_9i7ABIB99Ow,https://www.youtube.com/watch?v=9i7ABIB99Ow,81.36,112.2, Adding tomatoes and heavy cream to make it pasty.,cream,add,pasty
80525,v_t6vWMTMooDc,https://www.youtube.com/watch?v=t6vWMTMooDc,116.65,169.98,"However,they've added a feature to the match and each person has to put lemons in the other's hat to gain points.",person,put,hat
67210,v_WtBr459dWY4,https://www.youtube.com/watch?v=WtBr459dWY4,0.0,32.97, man is holding a red ball and is walking in a wooden court and throw the ball.,man,walk in,court
62877,v_c-X500da7JU,https://www.youtube.com/watch?v=c-X500da7JU,30.92,50.68," Then, the woman wraps gifts with different shapes and ornaments.",gifts,is,ornamented
18125,v_cqkcRy3k4v0,https://www.youtube.com/watch?v=cqkcRy3k4v0,24.31,29.65, men go on a camel and the camel stands up.,camel,stand up,
35358,v_WVJEFQpO5jg,https://www.youtube.com/watch?v=WVJEFQpO5jg,182.6,196.97, He pretends to hold the ball as he rotates his body into a 270 degree movement.,ball,hold,man
34332,v_wxoe1M2L4Qo,https://www.youtube.com/watch?v=wxoe1M2L4Qo,15.15,49.77, A man walks down the docks while another holds a bucket and the camera pans to a woman talking.,man,hold,bucket
2649,v_43j1BAyP6Q0,https://www.youtube.com/watch?v=43j1BAyP6Q0,105.64,176.36,  Another page showing a eliptical trainer is shown in which an active computer mouse is navigating the review for the item at which point another model elliptical trainer on another page is shown.,page,show,eliptical trainer
44749,v_cxFt88Cs-fs,https://www.youtube.com/watch?v=cxFt88Cs-fs,148.23,183.0,"Finally,the man does a free fall off of the bridge and a orange ball is thrown to him.",man,do,free fall
42817,v_WYyqptHdgkk,https://www.youtube.com/watch?v=WYyqptHdgkk,0.0,4.2,The man is on his feet bouncing towards the camera while standing on a tight flat ribbon that is connected to two very tall rock walls.,rock walls,is,2
33478,v_OeIQ0P0FCCg,https://www.youtube.com/watch?v=OeIQ0P0FCCg,4.55,110.33,A person sitting on a bicycle is seen sitting before a track start with others and leads into him completing a race.,person,sit before,track start
55385,v_pJRUkudK6iE,https://www.youtube.com/watch?v=pJRUkudK6iE,15.82,116.64,"A man wearing a green apron is untying shoelaces from a brown high shoe, then brushes it with a large brush, then he takes a smaller brush, dips it into a small container, then brushes it onto the shoe and the shoe looks very polished on any surface that he brushes.",man,wear,shoe
47662,v_n96adnrNnno,https://www.youtube.com/watch?v=n96adnrNnno,101.39,144.85,"Next,a young man approaches the bars,does his routine,and then comes back to to his interview.",man,come back to,interview
14527,v_lydctNDJZ5o,https://www.youtube.com/watch?v=lydctNDJZ5o,65.87,80.29," Two players from both team come running towards each other and fight for the ball, causing one of the green team players to fall down.",player,is,player
75161,v_aOrDnKEJAwQ,https://www.youtube.com/watch?v=aOrDnKEJAwQ,51.47,80.47, The camera follows one of the men underwater where numerous manmade obstacles are present.,obstacles,is,manmade
8378,v_fBov3cwPEho,https://www.youtube.com/watch?v=fBov3cwPEho,15.51,25.33, The dad puts it back and the baby takes it again.,baby,take,it
64501,v_cHSGL-OcMak,https://www.youtube.com/watch?v=cHSGL-OcMak,0.27,30.1,Two people are seen walking around on stilts in the middle of a street and sidewalk.,people,walk around,sidewalk
16063,v_7wyt_-SoudU,https://www.youtube.com/watch?v=7wyt_-SoudU,0.0,111.76, man is wearing welding mask in a dark room welding something.,mask,is,welding
71618,v__K3Cpdks6NQ,https://www.youtube.com/watch?v=_K3Cpdks6NQ,0.0,10.93,There is very large group of people outside on a basketball court after sunset.,people,after,sunset
36127,v_n_CMnVD7kCg,https://www.youtube.com/watch?v=n_CMnVD7kCg,41.57,131.26, The people continuously perform flips and tricks onto the mats with some being shown in slow motion and in pictures.,tricks,show in,pictures
39182,v_sx_npA4wRrw,https://www.youtube.com/watch?v=sx_npA4wRrw,25.46,47.86," Then in a blender, the chef mixes capers, garlic, anchovies and black olives along with some olive oil.",olives,is,
51615,v_4gEDonpfTeY,https://www.youtube.com/watch?v=4gEDonpfTeY,105.28,173.71," The man helps a woman light a cigarette, then he flips and takes as red table cloth to make tricks, the the man and the woman continues dancing until they kiss while liquid come out of bottles and appears the moon at the end.",table cloth,make,tricks
66546,v_K9kVsnTQh-g,https://www.youtube.com/watch?v=K9kVsnTQh-g,74.04,86.8, The man washes a coffee press gadget.,gadget,is,coffee press
12068,v_fPbVku8Ssyw,https://www.youtube.com/watch?v=fPbVku8Ssyw,0.0,2.72,People make a hole on the shore of the beach using shovels.,beach,have,shore
63149,v_jXZ6WVxXgLA,https://www.youtube.com/watch?v=jXZ6WVxXgLA,7.94,12.91, The spinning brushes the piles of leaves out of the parking lot.,brushes,out of,parking lot
20228,v_NSegylr0MBg,https://www.youtube.com/watch?v=NSegylr0MBg,10.95,13.13, We see commentary on the screen.,commentary,on,screen
23716,v_u0WgmhffTyI,https://www.youtube.com/watch?v=u0WgmhffTyI,34.76,42.61,"As they keep playing, a set of feet appear and hold down the end of the board.",feet,hold down,board
67657,v_2GSSuYAWFc8,https://www.youtube.com/watch?v=2GSSuYAWFc8,64.78,98.11, He then inserts a piercing using a clamp and a rod.,man,use,rod
34118,v_e9p0xmsU3h0,https://www.youtube.com/watch?v=e9p0xmsU3h0,179.38,185.09, the girl climbs up the slide railing.,girl,climb up,slide railing
25999,v_KZ-6u3MUp44,https://www.youtube.com/watch?v=KZ-6u3MUp44,61.62,68.47, He walks around the field afterward.,man,walk around,field
17941,v_XNTy5ZTMqVU,https://www.youtube.com/watch?v=XNTy5ZTMqVU,13.37,53.46," Two hands appear, demonstrating several signs indicating the rock, paper, scissors game.",game,is,rock paper scissors
70952,v_NLpWaffN3XM,https://www.youtube.com/watch?v=NLpWaffN3XM,6.5,139.75,  The girl uses her right hand to make beats with the guitar and picks chords with the left hand while staring intently at the guitar.,girl,pick,chords
4922,v_QEdbqJijx1w,https://www.youtube.com/watch?v=QEdbqJijx1w,15.25,44.61, She then holds up a contact lens and puts one in her eye.,woman,have,eye
6564,v_AEer099-yUM,https://www.youtube.com/watch?v=AEer099-yUM,0.0,47.14,A woman stands in a red dress.,woman,stand in,dress
8088,v_xH7qxBIz-tU,https://www.youtube.com/watch?v=xH7qxBIz-tU,180.17,190.66, After the fighting continues another man shows up in the room and escorts the man in the suit out.,man,is,escorting
5194,v_j_vP89LZlp8,https://www.youtube.com/watch?v=j_vP89LZlp8,0.0,120.79,A woman brushes her long hair at home.,woman,brush,hair
1620,v_eAOBdYKju70,https://www.youtube.com/watch?v=eAOBdYKju70,135.03,158.96, A man speakers on his experience and various shots of the horses and wildlife are shown.,horses,show,shots
42260,v_qhsK94t7x7w,https://www.youtube.com/watch?v=qhsK94t7x7w,10.62,235.99," The bulls lock horns, and are aggressive toward one another.",bulls,lock,horns
75272,v_NVtRGWuiEP4,https://www.youtube.com/watch?v=NVtRGWuiEP4,42.28,149.9, The girls next to them in pink perform their routine.,girls,in,pink
71563,v_9DVsv84awMg,https://www.youtube.com/watch?v=9DVsv84awMg,2.14,7.47,  Opened end of vehicle appears with www paint-supply net printed on bumper while tools are placed inside.,net,is,paintsupply
6561,v_jWuq6clN5q4,https://www.youtube.com/watch?v=jWuq6clN5q4,3.95,59.23, There are also people behind them playing golden cymbals.,people,behind,cymbals
52278,v_VyQ4ZbgqMXk,https://www.youtube.com/watch?v=VyQ4ZbgqMXk,36.84,42.27, A man falls down onto the shuffleboard.,man,fall down onto,shuffleboard
9314,v_gnVupEzu59g,https://www.youtube.com/watch?v=gnVupEzu59g,0.0,193.38,People are snowboarding down a hill of snow.,people,snowboard down,hill
24822,v_tTIsHfF0UgA,https://www.youtube.com/watch?v=tTIsHfF0UgA,0.0,76.86,man is holding a pole with an ice cream and giving it to a little child.,child,is,little
49397,v_zBg0FEtpC-o,https://www.youtube.com/watch?v=zBg0FEtpC-o,153.92,219.73,"  The man then takes a metal plate, puts it upside down and starts a fire on top of it using the materials in the packet, before returning to talk to the camera again.",plate,is,metal
51028,v_hiz0rH1bO7k,https://www.youtube.com/watch?v=hiz0rH1bO7k,161.5,169.19, kids are sanding al in front of the goal to make a free shot.,kids,make,free shot
25131,v_QHF28_yGOV8,https://www.youtube.com/watch?v=QHF28_yGOV8,106.6,113.41,  The video ends as the man in the black wet suit comes on shore after riding a wave and smiling.,wet suit,is,black
5454,v_zU6SnkNIdrw,https://www.youtube.com/watch?v=zU6SnkNIdrw,90.75,135.23, He presses balls of cookie dough onto a pan and bakes them.,cookie dough,is,balls
73161,v_Y53B2WdEbAg,https://www.youtube.com/watch?v=Y53B2WdEbAg,0.0,12.64,Several women are kneeling on the ground and working on preparing a soup.,women,is,working
59680,v_qHu0fz_anTQ,https://www.youtube.com/watch?v=qHu0fz_anTQ,30.29,113.73, She demonstrates how to cut cellophane and wrap it around a gift.,cellophane,wrap around,gift
8763,v_II3AiNrQ1uA,https://www.youtube.com/watch?v=II3AiNrQ1uA,6.21,34.87, A woman performs gymnastics on uneven bars while a number of spectators watch.,woman,perform,gymnastics
32589,v_SX075xQ0j6c,https://www.youtube.com/watch?v=SX075xQ0j6c,32.61,39.94, We see a lady teaching a group of children to knit.,lady,is,teaching
79883,v_FL9yhHtoc6c,https://www.youtube.com/watch?v=FL9yhHtoc6c,93.77,115.83, They also lift their knees up high while shaking their bodies.,bodies,shake,
31014,v_2Mw-3jScc0M,https://www.youtube.com/watch?v=2Mw-3jScc0M,0.0,19.23,An aerial view of a field and animals is shown.,field,show,animals
79332,v_GBNj2k2OVGo,https://www.youtube.com/watch?v=GBNj2k2OVGo,2.27,226.81,A man with saxophone is playing at the center of the park while a woman is sitting by the fountain.,woman,sit by,fountain
30212,v_aXXes0e-eM0,https://www.youtube.com/watch?v=aXXes0e-eM0,0.0,46.93,two kids are in a litle car watching a little kid holding a pole hitting a lightning mcqueen pi챰ata.,kids,watch,kid
36990,v_SA2GomtZkvE,https://www.youtube.com/watch?v=SA2GomtZkvE,13.73,161.54, He is wearing a hoodie.,hoodie,wear,man
74061,v_hDpYoAAFwOA,https://www.youtube.com/watch?v=hDpYoAAFwOA,2.87,47.07,"A man performs stunts on the back of a motorcycle, falls off, and injures himself at which point he falls to the ground and looks hurt.",man,fall off,self
54155,v_7OZHg_OOfxw,https://www.youtube.com/watch?v=7OZHg_OOfxw,0.0,9.63,boys and girls are stading in a court practicing cheerleaders choreography and a woman is talking in a studio on news.,boys,stand in,court
9163,v_w50et2-vEOQ,https://www.youtube.com/watch?v=w50et2-vEOQ,19.83,88.09, The man wakeboards around a lake.,man,wake around,lake
56741,v_zcDA0s8eWU4,https://www.youtube.com/watch?v=zcDA0s8eWU4,0.0,21.32,A woman chops wood on a block with an ax.,woman,on,block
